Province/State,Country/Region,Lat,Long,Date,Cases_confirmed,Cases_deaths,Recovered,country_clean,Population,Daily Cases,Daily Deaths,Growth Rate,Death Rate,Recovery Rate,risk_score,cases_per_100k,Risk,7DMA
Unknown,Brunei,4.5353,114.7277,2022-03-07,93034,147,0,Brunei Darussalam,455370.0,4185.0,4.0,0.04710238719625437,0.0015800675022034955,0.0,0.20430419219535761,20430.41921953576,Critical,4213.142857142857
Unknown,Bulgaria,42.7339,25.4858,2022-01-27,923466,33017,0,Bulgaria,6465097.0,9874.0,78.0,0.010807887985008646,0.035753346631061673,0.0,0.14283869213408554,14283.869213408554,Critical,8941.285714285714
Unknown,Burkina Faso,12.2383,-1.5616,2022-01-09,19636,333,0,Burkina Faso,22509038.0,276.0,0.0,0.014256198347107452,0.016958647382358933,0.0,0.0008723606935134233,87.23606935134234,Medium,286.2857142857143
Unknown,Burma,21.9162,95.956,2021-07-22,253364,6133,173926,Myanmar,53756787.0,6701.0,319.0,0.027166620044352108,0.024206280292385658,0.6864669013750967,0.004713153708386627,471.31537083866266,High,5831.285714285715
Unknown,Burundi,-3.3731,29.9189,2022-01-10,35500,38,0,Burundi,13321097.0,778.0,0.0,0.022406543401877865,0.0010704225352112676,0.0,0.00266494568728086,266.494568728086,High,1162.0
Unknown,Cabo Verde,16.5388,-23.0418,2022-01-09,50250,361,0,Cabo Verde,519741.0,400.0,1.0,0.008024072216650024,0.00718407960199005,0.0,0.09668277084163074,9668.277084163074,Critical,1062.7142857142858
Unknown,Cambodia,11.55,104.9167,2021-07-06,56122,779,48040,Cambodia,17201724.0,935.0,31.0,0.01694239585409618,0.013880474680161077,0.8559923024838744,0.0032625799600086596,326.25799600086594,High,981.0
Unknown,Cameroon,3.848,11.5021,2021-04-01,57337,851,35261,Cameroon,27632771.0,9668.0,130.0,0.2028152468061004,0.014842074053403561,0.6149781118649389,0.0020749638174180937,207.49638174180936,High,2387.8571428571427
Unknown,Central African Republic,6.6111,20.9394,2021-08-14,11251,99,0,Central African Republic,5098039.0,56.0,1.0,0.005002233139794532,0.008799217847302462,0.0,0.0022069270164469124,220.69270164469125,High,585.7142857142857
Unknown,Chad,15.4542,18.7322,2021-12-03,5703,181,0,Chad,18455316.0,596.0,6.0,0.11670256510671617,0.031737681921795546,0.0,0.00030901665406325203,30.901665406325204,Medium,85.14285714285714
Unknown,Chile,-35.6751,-71.543,2022-02-13,2621427,40558,0,Chile,19553036.0,38493.0,94.0,0.014902819816534185,0.015471725895857486,0.0,0.1340675176990417,13406.751769904171,Critical,35656.28571428572
Hong Kong,China,22.3,114.2,2023-01-29,2876106,13333,0,China,1412175000.0,2869503.0,13315.0,434.575647432985,0.00463578185226831,0.0,0.0020366498486377397,203.66498486377398,Medium,425565.4285714286
Unknown,Colombia,4.5709,-74.2973,2021-06-28,4187194,105326,3880261,Colombia,51737944.0,28478.0,648.0,0.0068477866726173175,0.025154315754178095,0.9266972105901947,0.08093081549587668,8093.081549587668,Critical,31255.571428571428
Unknown,Comoros,-11.6455,43.3333,2022-01-05,7283,159,0,Comoros,834188.0,215.0,0.0,0.03041878890775318,0.021831662776328437,0.0,0.008730645849616633,873.0645849616633,High,177.14285714285714
Unknown,Congo (Brazzaville),-0.228,15.8277,2022-01-09,22418,370,0,"Congo, Rep.",6035104.0,574.0,0.0,0.02627723860098885,0.0165045945222589,0.0,0.003714600444333685,371.4600444333685,High,332.7142857142857
Unknown,Congo (Kinshasa),-4.0383,21.7587,2021-12-29,74793,1205,0,"Congo, Dem. Rep.",102396968.0,2444.0,0.0,0.03378070187563065,0.016111133394836417,0.0,0.0007304220179644382,73.04220179644382,Medium,1070.7142857142858
Unknown,Costa Rica,9.7489,-83.7534,2022-07-26,1028375,8690,0,Costa Rica,5081765.0,39162.0,20.0,0.03958904705053401,0.008450224869332685,0.0,0.2023657134873415,20236.57134873415,Critical,17634.428571428572
Unknown,Cote d'Ivoire,7.54,-5.5471,2022-01-04,73786,723,0,Cote d'Ivoire,30395002.0,1434.0,3.0,0.01981977001326851,0.00979860678177432,0.0,0.0024275701643316225,242.75701643316225,High,1245.7142857142858
Unknown,Croatia,45.1,15.2,2022-01-26,899174,13566,0,Croatia,3855641.0,11812.0,64.0,0.013311365598256408,0.015087180011877567,0.0,0.23320999024546113,23320.999024546112,Critical,8909.57142857143
Unknown,Cuba,21.521757,-77.781167,2021-08-24,602526,4710,0,Cuba,11059820.0,9907.0,92.0,0.016717317534537424,0.00781709005088577,0.0,0.05447882515266975,5447.882515266975,Critical,9416.714285714286
Unknown,Cyprus,35.1264,33.4299,2022-03-30,426377,938,0,Cyprus,1331370.0,4774.0,1.0,0.01132344883693892,0.0021999310469373347,0.0,0.32025432449281566,32025.432449281565,Critical,4908.285714285715
Unknown,Czechia,49.8175,15.473,2022-02-02,3217661,37281,0,Czechia,10672118.0,67107.0,38.0,0.02130006341741808,0.011586366618484669,0.0,0.3015016325719037,30150.163257190372,Critical,45320.142857142855
Unknown,Denmark,56.2639,9.5018,2023-03-09,3404407,8296,0,Denmark,5903037.0,3392436.0,8275.0,283.38785398045275,0.002436841423484325,0.0,0.5767212707628294,57672.127076282944,Critical,1453841.4285714286
Unknown,Djibouti,11.8251,42.5903,2021-04-11,9876,96,7985,Djibouti,1137096.0,154.0,2.0,0.01584036206541861,0.009720534629404616,0.8085257189145403,0.008685282509128516,868.5282509128516,High,195.28571428571428
Unknown,Dominica,15.415,-61.371,2022-05-25,14184,65,0,Dominica,66826.0,432.0,2.0,0.03141361256544495,0.00458262831359278,0.0,0.2122527160087391,21225.27160087391,Critical,152.57142857142858
Unknown,Dominican Republic,18.7357,-70.1627,2022-01-14,489631,4266,0,Dominican Republic,11230734.0,7174.0,7.0,0.014869718959409806,0.008712683633184991,0.0,0.04359741758641955,4359.741758641955,High,6378.0
Unknown,Ecuador,-1.8312,-78.1834,2022-01-20,658045,34279,0,Ecuador,17823897.0,8488.0,32.0,0.013067367451971013,0.052092182145597944,0.0,0.036919255087706125,3691.9255087706124,High,9197.285714285714
Unknown,Egypt,26.820553,30.802498,2022-02-20,469457,23752,0,"Egypt, Arab Rep.",112618250.0,2009.0,58.0,0.004297804247745285,0.050594623149724044,0.0,0.004168569481411761,416.8569481411761,High,2376.5714285714284
Unknown,El Salvador,13.7942,-88.8965,2022-02-14,147786,4002,0,El Salvador,6280319.0,12677.0,8.0,0.09382794632481928,0.02707969631764849,0.0,0.023531607232053022,2353.160723205302,High,1811.0
